cod_upz;nom_upz;Women [%];Children [%];Teenagers [%];Older People [%];Victim population [%];SES 1 and 2 [% residential area];Mean slope [%];Sidewalk density [%];Cycleway density [%];Street density [%];Accidents with fatalities [1/ha];Accidents with injuries [1/ha];Pollution [PM2.5];Car share;PT share;Bike share;Walking share;Motorcycle share;Commuting Time;Access to Schools;Access to Health;Access to Administration;Access to Culture;Access to UGS;Access to PT;Access to Bike Sharing
87;TINTAL SUR;52,94185002;14,41154192;16,26385048;7,646167668;2,122712139;100;1,182862348;2,91;0,22;4,39;0,05;1,99;18,472;5,34;29,21;10,11;44,66;4,21;53,91;50,9212918;28,25857007;0;0;58,87656573;45,50383724;0
88;EL REFUGIO;54,77938522;10,39645668;7,669162073;24,75025877;2,137544231;0,109952562;4,893084977;8,19;0,43;12,19;0,13;7,01;19,670;43,95;13,24;3,09;24,89;5,47;41,85;71,30740631;70,10192828;66,63793133;85,80978379;96,85059254;84,22497217;66,27686144
89;SAN ISIDRO-PATIOS;50,14855093;16,74421212;13,57138853;11,03761422;1,799428219;93,06876025;5,686695599;0,84;0,00;7,05;0,04;1,01;14,263;;;;;;;73,73458409;52,70470329;0;54,10168148;0;82,36224033;0
90;PARDO RUBIO;50,78757709;10,47626124;8,039230255;12,87056988;2,895831785;33,29914706;4,79142173;6,00;0,05;11,68;0,17;5,31;17,445;16,29;28,31;4,07;32,79;8,55;52,31;92,42942916;69,0417837;58,15298271;76,31555775;92,77126378;85,66078729;39,74099841
91;SAGRADO CORAZON;50,564595;9,202453988;6,357250822;14,17266827;2,871876945;0;4,973123028;8,29;0,54;14,41;0,23;10,77;13,526;16,59;30,90;5,63;32,42;7,15;47,62;93,81534212;82,78881532;80,41280099;93,66635405;100;87,25217894;72,82100168
92;LA MACARENA;51,64449523;9,613972088;11,04219375;17,31004652;4,252019913;47,80034164;4,190984237;8,04;0,01;14,24;0,24;5,55;13,526;13,59;28,97;1,28;42,82;3,59;39,22;99,71792615;69,64470557;70,33693605;100;100;97,00248702;56,3057201
93;LAS NIEVES;48,6426786;10,10288903;9,114689298;14,53816195;9,23094809;24,17797924;3,395457721;11,91;0,61;16,88;0,97;23,56;8,598;10,83;48,13;3,00;26,34;6,36;59,82;100;100;94,0396377;100;100;100;86,86174114
94;LA CANDELARIA;49,14987235;6,963985007;13,87364876;17,86082894;6,366451192;55,82138851;2,724122933;8,69;0,38;10,70;0,24;7,56;3,670;9,84;32,33;1,97;45,45;4,31;46,69;99,98130308;99,03598893;70,6077268;100;100;100;90,34175564
95;LAS CRUCES;49,98556721;15,3180025;12,59501588;13,23968055;7,947657077;99,99872034;1,656289529;9,28;0,43;15,35;0,61;14,61;13,806;6,36;23,26;3,98;57,26;3,58;40,62;100;99,26509273;0;80,86302273;100;100;4,305931066
96;LOURDES;51,75395805;16,71471019;14,03831656;12,16461927;9,661182314;100;4,248446424;5,24;0,00;10,22;0,08;3,06;8,738;3,20;28,00;3,20;56,27;6,13;43,29;99,2688235;46,41442818;1,388196524;86,59695148;99,999316;99,74749369;2,741195968
